variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes	sensi_1	sensi_0	speci_1	speci_0	mutation_in_interest	mutation_not_in_interest	mutation_in_compared	mutation_not_in_compared
group_1010	0.983	0.154	0.154	0.364	0.254	0.131	bad-chisq	1.0	0.0	0.9666666666666667	0.03333333333333333	60	0	58	2
group_1109	0.983	0.154	0.8809999999999999	0.0405	0.26899999999999996	0.0139	bad-chisq	1.0	0.0	0.9666666666666667	0.03333333333333333	60	0	58	2
group_254	0.983	0.154	0.7559999999999999	-0.131	0.419	0.0287	bad-chisq	0.9666666666666667	0.03333333333333333	1.0	0.0	58	2	60	0
group_301	0.983	0.154	0.10099999999999999	-0.743	0.45	0.15	bad-chisq	0.9666666666666667	0.03333333333333333	1.0	0.0	58	2	60	0
group_860	0.983	0.154	0.10099999999999999	-0.743	0.45	0.15	bad-chisq	0.9666666666666667	0.03333333333333333	1.0	0.0	58	2	60	0
kdgM_2	0.983	0.154	0.7559999999999999	-0.131	0.419	0.0287	bad-chisq	0.9666666666666667	0.03333333333333333	1.0	0.0	58	2	60	0
dinI	0.983	0.154	0.257	0.738	0.648	0.10400000000000001	bad-chisq	1.0	0.0	0.9666666666666667	0.03333333333333333	60	0	58	2
gntT_2	0.983	0.154	0.996	0.00116	0.25	0.00042800000000000005	bad-chisq	1.0	0.0	0.9666666666666667	0.03333333333333333	60	0	58	2
group_1063	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1067	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1068	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
traA	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1074	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1075	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1076	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
virB	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1079	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1080	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1081	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1082	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
smc	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1084	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
hin	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1086	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1087	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_1116	0.975	0.5589999999999999	0.192	0.539	0.41100000000000003	0.12	bad-chisq	0.9833333333333333	0.016666666666666666	0.9666666666666667	0.03333333333333333	59	1	58	2
yeeN	0.975	0.5589999999999999	0.192	0.539	0.41100000000000003	0.12	bad-chisq	0.9833333333333333	0.016666666666666666	0.9666666666666667	0.03333333333333333	59	1	58	2
tfaE_1	0.975	0.0794	0.992	0.0018899999999999998	0.19399999999999998	0.000895	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_24	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_252	0.975	0.0794	0.992	0.0018899999999999998	0.19399999999999998	0.000895	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_28	0.975	0.0794	0.992	0.0018899999999999998	0.19399999999999998	0.000895	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_389	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_390	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
ccmD	0.975	0.5589999999999999	0.0887	0.444	0.259	0.156	bad-chisq	0.9666666666666667	0.03333333333333333	0.9833333333333333	0.016666666666666666	58	2	59	1
ccmE	0.975	0.5589999999999999	0.0887	0.444	0.259	0.156	bad-chisq	0.9666666666666667	0.03333333333333333	0.9833333333333333	0.016666666666666666	58	2	59	1
group_48	0.975	0.0794	0.992	0.0018899999999999998	0.19399999999999998	0.000895	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
ccmF_2	0.975	0.5589999999999999	0.693	0.105	0.265	0.0364	bad-chisq	0.9833333333333333	0.016666666666666666	0.9666666666666667	0.03333333333333333	59	1	58	2
group_6025	0.975	0.5589999999999999	0.47700000000000004	-0.161	0.226	0.0656	bad-chisq	0.9666666666666667	0.03333333333333333	0.9833333333333333	0.016666666666666666	58	2	59	1
group_727	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
finO	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_729	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_730	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_731	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
noc	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
parA	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_735	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_736	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
mkaC	0.975	0.0794	0.000167	0.664	0.171	0.337	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
sopE	0.975	0.0794	0.992	0.0018899999999999998	0.19399999999999998	0.000895	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_876	0.975	0.0794	0.992	0.0018899999999999998	0.19399999999999998	0.000895	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_878	0.975	0.0794	0.992	0.0018899999999999998	0.19399999999999998	0.000895	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_879	0.975	0.0794	0.992	0.0018899999999999998	0.19399999999999998	0.000895	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_880	0.975	0.0794	0.992	0.0018899999999999998	0.19399999999999998	0.000895	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_916	0.975	0.0794	0.599	0.159	0.301	0.0484	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
group_976	0.975	0.0794	0.102	0.327	0.198	0.15	bad-chisq	1.0	0.0	0.95	0.05	60	0	57	3
umuC_2	0.975	0.5589999999999999	0.8290000000000001	-0.0411	0.19	0.0199	bad-chisq	0.9833333333333333	0.016666666666666666	0.9666666666666667	0.03333333333333333	59	1	58	2
group_1073	0.9670000000000001	0.309	0.000195	0.6559999999999999	0.17	0.33399999999999996	bad-chisq	0.9833333333333333	0.016666666666666666	0.95	0.05	59	1	57	3
group_251	0.9670000000000001	0.309	0.659	-0.0817	0.185	0.0407	bad-chisq	0.9833333333333333	0.016666666666666666	0.95	0.05	59	1	57	3
group_388	0.9670000000000001	0.309	0.00195	0.496	0.156	0.28	bad-chisq	0.9833333333333333	0.016666666666666666	0.95	0.05	59	1	57	3
group_518	0.9670000000000001	0.309	0.988	-0.00288	0.19399999999999998	0.00137	bad-chisq	0.9833333333333333	0.016666666666666666	0.95	0.05	59	1	57	3
