variant	af	filter-pvalue	lrt-pvalue	beta	beta-std-err	variant_h2	notes	sensi_1	sensi_0	speci_1	speci_0	mutation_in_interest	mutation_not_in_interest	mutation_in_compared	mutation_not_in_compared
group_1010	0.983	0.154	0.25	0.311	0.26899999999999996	0.106	bad-chisq	1.0	0.0	0.033333333333333326	0.9666666666666667	60	0	58	2
group_254	0.983	0.154	0.513	0.27	0.41200000000000003	0.0603	bad-chisq	1.0	0.0	0.033333333333333326	0.9666666666666667	60	0	58	2
group_47	0.983	0.154	0.831	0.072	0.337	0.0196	bad-chisq	1.0	0.0	0.033333333333333326	0.9666666666666667	60	0	58	2
kdgM_2	0.983	0.154	0.513	0.27	0.41200000000000003	0.0603	bad-chisq	1.0	0.0	0.033333333333333326	0.9666666666666667	60	0	58	2
dinI	0.983	0.154	0.47200000000000003	0.409	0.5670000000000001	0.0663	bad-chisq	1.0	0.0	0.033333333333333326	0.9666666666666667	60	0	58	2
cesT	0.983	0.154	0.8540000000000001	0.0697	0.379	0.0169	bad-chisq	1.0	0.0	0.033333333333333326	0.9666666666666667	60	0	58	2
gntT_2	0.983	0.154	0.754	0.0854	0.272	0.0289	bad-chisq	1.0	0.0	0.033333333333333326	0.9666666666666667	60	0	58	2
group_1063	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1067	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1068	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
traA	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1074	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1075	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1076	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
virB	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1079	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1080	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1081	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1082	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
smc	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1084	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
hin	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1086	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1087	0.975	0.5589999999999999	0.449	0.155	0.205	0.0697	bad-chisq	0.9666666666666667	0.03333333333333333	0.01666666666666672	0.9833333333333333	58	2	59	1
group_1116	0.975	0.0794	0.6729999999999999	0.157	0.37200000000000005	0.0389	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
yeeN	0.975	0.0794	0.6729999999999999	0.157	0.37200000000000005	0.0389	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
tfaE_1	0.975	0.0794	0.615	0.111	0.21899999999999997	0.0464	bad-chisq	1.0	0.0	0.050000000000000044	0.95	60	0	57	3
