Accession.No.	Uberstrain	Name	Sequencing.Platform	Sequencing.Library	Insert.Size	Experiment	Bases	Average.Length	Barcode	Source.Niche	Source.Type	Source.Details	Collection.Year	Collection.Month	Collection.Day	Collection.Time	Continent	Country	Region	District	City	Post.Code	Latitude	Longitude	Serovar	Subspecies	Disease	Antigenic.Formulas	Lab.Contact	Phage.Type	Comment	Bio.Project.ID	Project.ID	Sample.ID	Secondary.Sample.ID	Date.Entered	Release.Date	Status	Coverage	N50.x	Length	Species	Contig.Number...200.bp.	Low.Quality.Bases	Version	Assembly.Barcode	Project	Center	Technology	Processing.date	Predicted.Serovar	Predicted.Antigenic.Profile	ContamStatus	NumContamSNVs	percentContam	N50.y	Number.of.contigs	Largest.contig.x	Total.assembly.length	SNP.reference	Scaffolding.reference	X..contigs.....0.bp.	X..contigs.....1000.bp.	X..contigs.....5000.bp.	X..contigs.....10000.bp.	X..contigs.....25000.bp.	X..contigs.....50000.bp.	Total.length.....0.bp.	Total.length.....1000.bp.	Total.length.....5000.bp.	Total.length.....10000.bp.	Total.length.....25000.bp.	Total.length.....50000.bp.	X..contigs	Largest.contig.y	Total.length	Reference.length	GC....	Reference.GC....	N50	NG50	N75	NG75	L50	LG50	L75	LG75	X..misassemblies	X..misassembled.contigs	Misassembled.contigs.length	X..local.misassemblies	X..scaffold.gap.ext..mis.	X..scaffold.gap.loc..mis.	X..unaligned.mis..contigs	X..unaligned.contigs	X..unaligned.contigs_partial	Unaligned.length	Genome.fraction....	Duplication.ratio	X..N.s.per.100.kbp	X..mismatches.per.100.kbp	X..indels.per.100.kbp	X..genomic.features	X..genomic.features_partial	Largest.alignment	Total.aligned.length	NA50	NGA50	NA75	NGA75	LA50	LGA50	LA75	LGA75	mean_depth_cov	std_depth_cov	breadth_cov
ERR048512	SAL_BA7332AA	09:MF0005148R	ILLUMINA	Paired	249	ERX025575	362182640	74	SAL_BA7332AA	Human	Human	"Homo Sapien; blood"	2009	NA	NA	NA	Europe	United Kingdom	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	The Wellcome Trust Sanger Institute	NA	NA	PRJEB2566	ERP000715	SAMEA1030779	ERS037369	27/08/2015	15/04/2012	Assembled	77	371889	4707909	"Salmonella enterica;100.0%"	43	1552	2.2	SAL_CA4330AA_AS	ADONIS	SC		2020-02-07T15:31:39.000Z	Enteritidis	9:g,m:-	False	0	0	4707084	1	4707084	4707084	Typhimurium_LT2_AE006468	Enteritidis_P125109	-	4	4	4	4	4	-	4706870	4706870	4706870	4706870	4706870	4	2684256	4706870	4685848	52.13	52.17	2684256	2684256	1328006	1328006	1	1	2	2	16	2	4012262	24	-	-	0	0	2	61481	99.082	1.001	0.91	2.11	1.29	4710	20	1550442	4644533	451017	451017	233748	233748	3	3	7	7	71.9985	24.76	91.97
ERR048514	SAL_BA7328AA	09:MF0011240R	ILLUMINA	Paired	249	ERX025577	310591024	74	SAL_BA7328AA	Human	Human	"Homo Sapien; blood"	2009	NA	NA	NA	Europe	United Kingdom	NA	NA	NA	NA	NA	NA	Enteritidis	I	NA	NA	The Wellcome Trust Sanger Institute	NA	NA	PRJEB2566	ERP000715	SAMEA1030769	ERS037371	27/08/2015	15/04/2012	Assembled	66	496075	4712179	"Salmonella enterica;100.0%"	42	2386	2.2	SAL_CA4328AA_AS	ADONIS	SC		2020-02-07T15:31:39.000Z	Enteritidis	9:g,m:-	False	0	0	4705763	2	4705763	4710411	Typhimurium_LT2_AE006468	Enteritidis_P125109	2.0	2	1	1	1	1	4710411.0	4710411	4705763	4705763	4705763	4705763	2	4705763	4710411	4685848	52.13	52.17	4705763	4705763	4705763	4705763	1	1	1	1	15	1	4705763	13	0.0	0.0	0	1	1	64110	99.129	1	0.79	2.6	1.55	4717	15	1548181	4641357	494984	494984	432856	432856	3	3	5	5	61.2498	21.35	91.98
ERR1544909	SAL_IA3875AA	Salmonella_enterica_serovar_Enteritidis-S_127	ILLUMINA	Paired	200	ERX1615679	182555964	206	SAL_IA3875AA	Human	Human	"human; faeces"	2014	NA	NA	NA	Europe	Denmark	NA	NA	NA	NA	55.6425	12.4754	Enteritidis	I	NA	NA	STATENS SERUM INSTITUT	NA	NA	PRJEB14038	ERP015638	SAMEA4351124	ERS1262573	01/02/2017	01/02/2017	Assembled	38	405935	4705855	"Salmonella enterica;97.3%"	37	3234	3.61	SAL_QA3638AA_AS	ADONIS	STATENS_SERUM_INSTITUT		2020-02-07T15:33:22.000Z	N/A	9:g,m:e,n,x,z15	False	0	0	4702967	235	4702967	4832865	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	235.0	5	2	1	1	1	4832865.0	4712785	4708529	4702967	4702967	4702967	235	4702967	4832865	4774402	52.18	52.15	4702967	4702967	4702967	4702967	1	1	1	1	22	1	4702967	23	0.0	0.0	0	234	1	133615	98.362	1.001	0.54	6.09	0.81	4391	35	1915936	4693117	725286	725286	238343	238343	2	2	5	5	36.0428	16.44	92.06
ERR1544910	SAL_IA3874AA	Salmonella_enterica_serovar_Enteritidis-S_128	ILLUMINA	Paired	180	ERX1615680	363105898	191	SAL_IA3874AA	Human	Human	"human; faeces"	2014	NA	NA	NA	Europe	Denmark	NA	NA	NA	NA	55.6425	12.4754	Enteritidis	I	NA	NA	STATENS SERUM INSTITUT	NA	NA	PRJEB14038	ERP015638	SAMEA4351125	ERS1262574	01/02/2017	01/02/2017	Assembled	77	491954	4714154	"Salmonella enterica;96.87%"	34	1086	3.61	SAL_QA3639AA_AS	ADONIS	STATENS_SERUM_INSTITUT		2020-02-07T15:31:47.000Z	Enteritidis	9:g,m:-	True	3	6.98	4711355	249	4711355	4853227	Typhimurium_LT2_AE006468	Enteritidis_P125109	249.0	10	2	1	1	1	4853227.0	4728364	4716917	4711355	4711355	4711355	249	4711355	4853227	4685848	52.19	52.17	4711355	4711355	4711355	4711355	1	1	1	1	14	1	4711355	20	0.0	0.0	0	245	2	201489	99.177	1.001	0.52	2.99	0.45	4723	19	2682604	4651281	2682604	2682604	311225	311225	1	1	3	3	70.5775	28.16	91.87
ERR1544911	SAL_IA3873AA	Salmonella_enterica_serovar_Enteritidis-S_153	ILLUMINA	Paired	166	ERX1615681	573935544	189	SAL_IA3873AA	Human	Human	"human; faeces"	2014	NA	NA	NA	Europe	Denmark	NA	NA	NA	NA	55.6425	12.4754	Enteritidis	I	NA	NA	STATENS SERUM INSTITUT	NA	NA	PRJEB14038	ERP015638	SAMEA4351126	ERS1262575	01/02/2017	01/02/2017	Assembled	119	491954	4796612	"Salmonella enterica;100.0%"	34	615	3.61	SAL_QA3640AA_AS	ADONIS	STATENS_SERUM_INSTITUT		2020-02-07T15:31:42.000Z	Enteritidis	9:g,m:-	False	0	0	4741500	8	4741500	4798312	Typhimurium_LT2_AE006468	Enteritidis_P125109	8.0	4	2	2	2	2	4798312.0	4797384	4791878	4791878	4791878	4791878	8	4741500	4798312	4685848	52.04	52.17	4741500	4741500	4741500	4741500	1	1	1	1	17	1	4741500	29	0.0	0.0	0	3	1	146748	99.185	1.001	0.77	3.08	0.84	4721	27	1955252	4650487	652138	652138	227987	433522	2	2	5	4	106.9512	41.23	92.21
ERR1817525	SAL_IA5901AA	MS160412	ILLUMINA	Paired	500	ERX1880024	475246134	99	SAL_IA5901AA	Human	Human	"Homo sapiens; Human"	2016	NA	NA	NA	Europe	Ireland	NA	NA	NA	NA	NA	NA	Enteritidis	Subsp. I	NA	NA	University Hospital Galway	NA	NA	PRJEB18998	ERP020979	SAMEA80161918	ERS1544997	14/02/2017	09/02/2017	Assembled	101	492054	4700011	"Salmonella enterica;100.0%"	30	350	3.61	SAL_QA5296AA_AS	ADONIS	UNIVERSITY_HOSPITAL_GALWAY		2020-02-07T15:31:47.000Z	Enteritidis	9:g,m:-	False	0	0	4699776	10	4699776	4702032	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	-	2	2	2	2	2	-	4699689	4699689	4699689	4699689	4699689	11	4592024	4701945	4774402	52.13	52.15	4592024	4592024	4592024	4592024	1	1	1	1	21	2	4699689	27	-	-	0	9	1	5020	98.326	1.001	1.11	7.37	2.04	4384	41	1508837	4690034	471067	471067	219770	219770	3	3	7	7	93.5955	41.44	92.36
ERR1817537	SAL_IA5889AA	MS160424	ILLUMINA	Paired	500	ERX1880036	428023134	99	SAL_IA5889AA	Human	Human	"Homo sapiens; Human"	2016	NA	NA	NA	Europe	Ireland	NA	NA	NA	NA	NA	NA	Enteritidis	Subsp. I	NA	NA	University Hospital Galway	NA	NA	PRJEB18998	ERP020979	SAMEA80170918	ERS1545009	14/02/2017	09/02/2017	Assembled	90	440417	4705121	"Salmonella enterica;97.23%"	32	1283	3.61	SAL_QA5308AA_AS	ADONIS	UNIVERSITY_HOSPITAL_GALWAY		2020-02-07T15:31:43.000Z	Enteritidis	9:g,m:-	False	0	0	4699543	16	4699543	4708038	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	-	4	4	3	3	3	-	4704678	4704678	4699354	4699354	4699354	18	3403563	4707849	4774402	52.12	52.15	3403563	3403563	832633	832633	1	1	2	2	18	3	4699354	22	-	-	0	15	1	10190	98.315	1.001	1.13	6.58	2.11	4385	42	1915338	4693751	490228	490228	370718	370718	2	2	5	5	82.3636	38.73	92.37
ERR2116712	SAL_LA3392AA	MS170258	ILLUMINA	Paired	500	ERX2173570	177671000	100	SAL_LA3392AA	Human	Human	"Homo sapiens; Human"	2017	NA	NA	NA	Europe	Ireland	NA	NA	NA	NA	NA	NA	Enteritidis	Subsp. I	NA	NA	University Hospital Galway	NA	NA	PRJEB18998	ERP020979	SAMEA104287975	ERS1912953	10/09/2017	09/09/2017	Assembled	37	263093	4701949	"Salmonella enterica;94.45%"	35	1661	3.61	SAL_WA3170AA_AS	ADONIS	UNIVERSITY_HOSPITAL_GALWAY		2020-02-07T15:31:42.000Z	Enteritidis	9:g,m:-	False	0	0	4700341	4	4700341	4711436	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	-	5	2	2	2	2	-	4711355	4700260	4700260	4700260	4700260	5	3881451	4711355	4774402	52.13	52.15	3881451	3881451	3881451	3881451	1	1	1	1	22	2	4700260	30	-	-	0	3	1	14226	98.332	1.001	1.25	8.58	2.92	4373	46	1059973	4689149	454162	454162	290505	220497	4	4	7	8	31.3263	14.44	92.31
ERR2197881	SAL_NA7682AA	16-27784_S5	ILLUMINA	Paired	1024	ERX2253495	NA	NA	SAL_NA7682AA	Human	Human	"Homo sapiens; Human"	2016	NA	NA	NA	Europe	Italy	NA	NA	NA	NA	NA	NA	Enteritidisï¿½	I	NA	NA	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLE VENEZIE	NA	NA	PRJEB23485	ERP105243	SAMEA104390718	ERS2008660	30/01/2018	28/01/2018	Assembled	61	405973	4702789	"Salmonella enterica;100.0%"	45	2846	3.61	SAL_YA6173AA_AS	ADONIS	ISTITUTO_ZOOPROFILATTICO_SPERIMENTALE_DELLE_VENEZI		2020-02-07T15:31:42.000Z	Enteritidis	9:g,m:-	False	0	0	4704420	6	4704420	4706423	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	6.0	1	1	1	1	1	4706423.0	4704420	4704420	4704420	4704420	4704420	6	4704420	4706423	4774402	52.15	52.15	4704420	4704420	4704420	4704420	1	1	1	1	16	1	4704420	25	0.0	0.0	0	4	0	1748	98.456	1.001	0.49	6.45	1.04	4396	33	1915701	4701067	725410	725410	433687	418299	2	2	4	5	57.8222	23.88	92.14
ERR2197884	SAL_NA7679AA	16-3740_S8	ILLUMINA	Paired	1041	ERX2253498	NA	NA	SAL_NA7679AA	Food	Avian	Food, egg	2016	NA	NA	NA	Europe	Italy	NA	NA	NA	NA	NA	NA	Enteritidisï¿½	I	NA	NA	ISTITUTO ZOOPROFILATTICO SPERIMENTALE DELLE VENEZIE	NA	NA	PRJEB23485	ERP105243	SAMEA104390721	ERS2008663	30/01/2018	28/01/2018	Assembled	63	401198	4709800	"Salmonella enterica;91.11%"	50	2316	3.61	SAL_YA6176AA_AS	ADONIS	ISTITUTO_ZOOPROFILATTICO_SPERIMENTALE_DELLE_VENEZI		2020-02-07T15:31:47.000Z	Enteritidis	9:g,m:-	False	0	0	4647628	18	4647628	4660209	Typhimurium_LT2_AE006468	EnteritidisEC20090193_CP007321-1	18.0	5	1	1	1	1	4660209.0	4653513	4647628	4647628	4647628	4647628	18	4647628	4660209	4774402	52.13	52.15	4647628	4647628	4647628	4647628	1	1	1	1	19	1	4647628	19	0.0	0.0	0	15	1	16709	97.197	1.001	0.62	6.49	0.91	4384	31	1915744	4641921	723971	723971	282937	282937	2	2	5	5	58.976	24.49	92.2
